Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
KEGGREST,/work/islet_cartography_scrna/r_library,1.46.0,NA,R (>= 3.5.0),"methods, httr, png, Biostrings",NA,"RUnit, BiocGenerics, BiocStyle, knitr, markdown",NA,Artistic-2.0,NA,NA,NA,NA,no,4.4.3
kernlab,/work/islet_cartography_scrna/r_library,0.9-33,NA,R (>= 2.10),"methods, stats, grDevices, graphics",NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,4.4.0
khroma,/work/islet_cartography_scrna/r_library,1.17.0,NA,R (>= 3.5.0),"graphics, grDevices, grid, stats, utils",NA,"fontquiver, ggplot2, ggraph, knitr, markdown, rsvg, scales,
spacesXYZ, svglite, tinysnapshot (>= 0.2.0), tinytest",NA,GPL (>= 3),NA,NA,NA,NA,no,4.4.0
knitr,/work/islet_cartography_scrna/r_library,1.50,NA,R (>= 3.6.0),"evaluate (>= 0.15), highr (>= 0.11), methods, tools, xfun (>=
0.51), yaml (>= 2.1.19)",NA,"bslib, codetools, DBI (>= 0.4-1), digest, formatR, gifski,
gridSVG, htmlwidgets (>= 0.7), jpeg, JuliaCall (>= 0.11.1),
magick, litedown, markdown (>= 1.3), png, ragg, reticulate (>=
1.4), rgl (>= 0.95.1201), rlang, rmarkdown, sass, showtext,
styler (>= 1.2.0), targets (>= 0.6.0), testit, tibble,
tikzDevice (>= 0.10), tinytex (>= 0.56), webshot, rstudioapi,
svglite",NA,GPL,NA,NA,NA,NA,no,4.4.0
lambda.r,/work/islet_cartography_scrna/r_library,1.2.4,NA,R (>= 3.0.0),formatR,NA,testit,NA,LGPL-3,NA,NA,NA,NA,no,4.4.0
leiden,/work/islet_cartography_scrna/r_library,0.4.3.1,NA,NA,"methods, reticulate, Matrix, igraph (>= 1.2.7)",NA,"bipartite, covr, data.table, devtools, graphsim, knitr,
markdown, multiplex, multinet, network, qpdf, RColorBrewer,
remotes, rmarkdown, spelling, testthat, tibble",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,4.4.0
leidenbase,/work/islet_cartography_scrna/r_library,0.1.35,NA,R (>= 3.5.0),igraph (>= 0.9.0),NA,"rmarkdown, knitr, testthat (>= 3.1.0), pandoc",NA,GPL-3,NA,NA,NA,NA,yes,4.4.0
limma,/work/islet_cartography_scrna/r_library,3.62.2,NA,R (>= 3.6.0),"grDevices, graphics, stats, utils, methods, statmod",NA,"BiasedUrn, ellipse, gplots, knitr, locfit, MASS, splines,
affy, AnnotationDbi, Biobase, BiocStyle, GO.db, illuminaio,
org.Hs.eg.db, vsn",NA,GPL (>=2),NA,NA,NA,NA,yes,4.4.3
lme4,/work/islet_cartography_scrna/r_library,1.1-37,NA,"R (>= 3.6.0), Matrix, methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4),
reformulas (>= 0.3.0)","Rcpp (>= 0.10.5), RcppEigen (>= 0.3.3.9.4), Matrix (>=
1.2-3)","knitr, rmarkdown, MEMSS, testthat (>= 0.8.1), ggplot2,
mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff, tibble,
merDeriv",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
lmerTest,/work/islet_cartography_scrna/r_library,3.1-3,NA,"R (>= 3.2.5), lme4 (>= 1.1-10), stats, methods","numDeriv, MASS, ggplot2",NA,"pbkrtest (>= 0.4-3), tools",NA,GPL (>= 2),NA,NA,NA,NA,no,4.4.0
locfit,/work/islet_cartography_scrna/r_library,1.5-9.12,NA,R (>= 4.1.0),lattice,NA,"interp, gam",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
MatrixGenerics,/work/islet_cartography_scrna/r_library,1.18.1,NA,matrixStats (>= 1.4.1),methods,NA,"Matrix, sparseMatrixStats, SparseArray, DelayedArray,
DelayedMatrixStats, SummarizedExperiment, testthat (>= 2.1.0)",NA,Artistic-2.0,NA,NA,NA,NA,no,4.4.3
matrixStats,/work/islet_cartography_scrna/r_library,1.5.0,NA,R (>= 3.4.0),NA,NA,"utils, base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.4.0
microbenchmark,/work/islet_cartography_scrna/r_library,1.5.0,NA,R (>= 3.2.0),"graphics, stats",NA,"ggplot2, multcomp, RUnit",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,4.4.0
mime,/work/islet_cartography_scrna/r_library,0.13,NA,NA,tools,NA,NA,NA,GPL,NA,NA,NA,NA,yes,4.4.0
minqa,/work/islet_cartography_scrna/r_library,1.2.8,NA,NA,Rcpp (>= 0.9.10),Rcpp,NA,NA,GPL-2,NA,NA,NA,NA,yes,4.4.0
mixtools,/work/islet_cartography_scrna/r_library,2.0.0.1,NA,R (>= 4.0.0),"kernlab, MASS, plotly, scales, segmented, stats, survival",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
mvtnorm,/work/islet_cartography_scrna/r_library,1.3-3,NA,R(>= 3.5.0),stats,NA,"qrng, numDeriv",NA,GPL-2,NA,NA,NA,NA,yes,4.4.0
nloptr,/work/islet_cartography_scrna/r_library,2.2.1,NA,NA,NA,NA,"knitr, rmarkdown, covr, tinytest",NA,LGPL (>= 3),NA,NA,NA,NA,yes,4.4.0
numDeriv,/work/islet_cartography_scrna/r_library,2016.8-1.1,NA,R (>= 2.11.1),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,4.4.0
openxlsx,/work/islet_cartography_scrna/r_library,4.2.8.1,NA,R (>= 3.3.0),"grDevices, methods, Rcpp, stats, stringi, utils, zip",Rcpp,"curl, formula.tools, knitr, rmarkdown, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
org.Hs.eg.db,/work/islet_cartography_scrna/r_library,3.20.0,NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.67.0)",NA,NA,"DBI, annotate, RUnit",NA,Artistic-2.0,NA,NA,NA,NA,no,4.4.3
paletteer,/work/islet_cartography_scrna/r_library,1.6.0,NA,R (>= 2.10),"prismatic, rematch2, rlang, rstudioapi",NA,"covr, ggplot2 (>= 3.3.0), ggthemes (>= 4.0.0), harrypotter
(>= 2.1.0), knitr, oompaBase, palr, pals, rmarkdown, scico,
testthat (>= 2.1.0), vdiffr, viridisLite",NA,GPL-3,NA,NA,NA,NA,no,4.4.0
parallelly,/work/islet_cartography_scrna/r_library,1.45.1,NA,NA,"parallel, tools, utils",NA,"commonmark, base64enc",NA,LGPL (>= 2.1),NA,NA,NA,NA,yes,4.4.0
patchwork,/work/islet_cartography_scrna/r_library,1.3.2,NA,NA,"ggplot2 (>= 3.0.0), gtable (>= 0.3.6), grid, stats, grDevices,
utils, graphics, rlang (>= 1.0.0), cli, farver",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png, gt (>= 0.11.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
pbapply,/work/islet_cartography_scrna/r_library,1.7-4,NA,R (>= 3.2.0),parallel,NA,"shiny, future, future.apply",NA,GPL (>= 2),NA,NA,NA,NA,no,4.4.0
pcaPP,/work/islet_cartography_scrna/r_library,2.0-5,NA,R(>= 3.6.2),"mvtnorm, methods",NA,robustbase,NA,GPL (>= 3),NA,NA,NA,NA,yes,4.4.0
pheatmap,/work/islet_cartography_scrna/r_library,1.0.13,NA,R (>= 2.0),"grid, RColorBrewer, scales, gtable, stats, grDevices, graphics",NA,NA,NA,GPL-2,NA,NA,NA,NA,no,4.4.0
plogr,/work/islet_cartography_scrna/r_library,0.2.0,NA,NA,NA,NA,Rcpp,NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
plotly,/work/islet_cartography_scrna/r_library,4.11.0,NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 1.0.0),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, ggalluvial, testthat,
knitr, shiny (>= 1.1.0), shinytest2, curl, rmarkdown, Cairo,
broom, webshot, listviewer, dendextend, sf, png, IRdisplay,
processx, plotlyGeoAssets, forcats, withr, palmerpenguins,
rversions, reticulate, rsvg, ggridges",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
plyr,/work/islet_cartography_scrna/r_library,1.8.9,NA,R (>= 3.1.0),Rcpp (>= 0.11.0),Rcpp,"abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
polyclip,/work/islet_cartography_scrna/r_library,1.10-7,NA,R (>= 3.5.0),NA,NA,NA,NA,BSL,NA,NA,NA,NA,yes,4.4.0
presto,/work/islet_cartography_scrna/r_library,1.0.0,NA,"R (>= 3.4.0), Rcpp, data.table","dplyr, methods, tidyr, purrr, tibble, Matrix, rlang, stats,
utils","Rcpp, RcppArmadillo","knitr, rmarkdown, testthat, Seurat, SingleCellExperiment,
SummarizedExperiment, broom, BiocStyle, DESeq2",NA,GPL-3,NA,NA,NA,NA,yes,4.4.3
prismatic,/work/islet_cartography_scrna/r_library,1.1.2,NA,R (>= 3.2),"graphics, farver (>= 2.0.1), grDevices",NA,"covr, cli, testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
pROC,/work/islet_cartography_scrna/r_library,1.19.0.1,NA,R (>= 2.14),"methods, Rcpp (>= 0.11.1)",Rcpp,"tcltk, MASS, logcondens, testthat, vdiffr, ggplot2, rlang",NA,GPL (>= 3),NA,NA,NA,NA,yes,4.4.0
profmem,/work/islet_cartography_scrna/r_library,0.7.0,NA,NA,utils,NA,"R.rsp, markdown, microbenchmark",NA,LGPL (>= 2.1),NA,NA,NA,NA,no,4.4.0
progress,/work/islet_cartography_scrna/r_library,1.2.3,NA,R (>= 3.6),"crayon, hms, prettyunits, R6",NA,"Rcpp, testthat (>= 3.0.0), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.1
progressr,/work/islet_cartography_scrna/r_library,0.17.0,NA,R (>= 3.5.0),"digest, utils",NA,"graphics, tcltk, beepr, cli, crayon, pbmcapply, progress,
purrr, foreach, plyr, doFuture, future, future.apply, furrr,
ntfy, RPushbullet, rstudioapi, shiny, commonmark, base64enc,
tools",NA,GPL (>= 3),NA,NA,NA,NA,no,4.4.0
qs,/work/islet_cartography_scrna/r_library,0.27.3,NA,R (>= 3.0.2),"Rcpp, RApiSerialize (>= 0.1.4), stringfish (>= 0.15.1)","Rcpp, RApiSerialize, stringfish, BH","knitr, rmarkdown, testthat, dplyr, data.table",NA,GPL-3,NA,NA,NA,NA,yes,4.4.0
qs2,/work/islet_cartography_scrna/r_library,0.1.5,NA,R (>= 3.5.0),"Rcpp, stringfish (>= 0.15.1)","Rcpp, stringfish, RcppParallel","knitr, rmarkdown, dplyr, data.table, stringi",NA,GPL-3,NA,NA,NA,NA,yes,4.4.0
R.cache,/work/islet_cartography_scrna/r_library,0.17.0,NA,R (>= 2.14.0),"utils, R.methodsS3 (>= 1.8.1), R.oo (>= 1.24.0), R.utils (>=
2.10.1), digest (>= 0.6.13)",NA,NA,NA,LGPL (>= 2.1),NA,NA,NA,NA,no,4.4.0
R.methodsS3,/work/islet_cartography_scrna/r_library,1.8.2,NA,R (>= 2.13.0),utils,NA,codetools,NA,LGPL (>= 2.1),NA,NA,NA,NA,no,4.4.0
R.oo,/work/islet_cartography_scrna/r_library,1.27.1,NA,"R (>= 2.13.0), R.methodsS3 (>= 1.8.2)","methods, utils",NA,tools,NA,LGPL (>= 2.1),NA,NA,NA,NA,no,4.4.0
R.utils,/work/islet_cartography_scrna/r_library,2.13.0,NA,"R (>= 2.14.0), R.oo","methods, utils, tools, R.methodsS3",NA,"datasets, digest (>= 0.6.10)",NA,LGPL (>= 2.1),NA,NA,NA,NA,no,4.4.0
RANN,/work/islet_cartography_scrna/r_library,2.6.2,NA,NA,NA,NA,testthat,NA,GPL (>= 3),NA,NA,NA,NA,yes,4.4.0
RApiSerialize,/work/islet_cartography_scrna/r_library,0.1.4,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
RcppAnnoy,/work/islet_cartography_scrna/r_library,0.0.22,NA,R (>= 3.1),"methods, Rcpp",Rcpp,tinytest,NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
RcppArmadillo,/work/islet_cartography_scrna/r_library,15.0.2-2,NA,R (>= 3.3.0),"Rcpp (>= 1.0.12), stats, utils, methods",Rcpp,"tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
RcppEigen,/work/islet_cartography_scrna/r_library,0.3.4.0.2,NA,R (>= 3.6.0),"Rcpp (>= 0.11.0), stats, utils",Rcpp,"Matrix, inline, tinytest, pkgKitten, microbenchmark",NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,yes,4.4.0
RcppHNSW,/work/islet_cartography_scrna/r_library,0.6.0,NA,NA,"methods, Rcpp (>= 0.11.3)",Rcpp,"covr, testthat",NA,GPL (>= 3),NA,NA,NA,NA,yes,4.4.0
RcppParallel,/work/islet_cartography_scrna/r_library,5.1.11-1,NA,R (>= 3.0.2),NA,NA,"Rcpp, RUnit, knitr, rmarkdown",NA,GPL (>= 3),NA,NA,NA,NA,yes,4.4.0
RcppProgress,/work/islet_cartography_scrna/r_library,0.4.2,NA,NA,NA,NA,"RcppArmadillo, devtools, roxygen2, testthat",NA,GPL (>= 3),NA,NA,NA,NA,no,4.4.0
RcppTOML,/work/islet_cartography_scrna/r_library,0.2.3,NA,R (>= 3.3.0),Rcpp (>= 1.0.8),Rcpp,tinytest,NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
RCurl,/work/islet_cartography_scrna/r_library,1.98-1.17,NA,"R (>= 3.4.0), methods",bitops,NA,XML,NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,4.4.0
reformulas,/work/islet_cartography_scrna/r_library,0.4.2,NA,NA,"stats, methods, Matrix, Rdpack",NA,"lme4, tinytest, glmmTMB",NA,GPL-3,NA,NA,NA,NA,no,4.4.0
rentrez,/work/islet_cartography_scrna/r_library,1.2.4,NA,R (>= 2.6.0),"XML, httr (>= 0.5), jsonlite (>= 0.9)",NA,"testthat, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
reshape2,/work/islet_cartography_scrna/r_library,1.4.4,NA,R (>= 3.1),"plyr (>= 1.8.1), Rcpp, stringr",Rcpp,"covr, lattice, testthat (>= 0.8.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
restfulr,/work/islet_cartography_scrna/r_library,0.0.16,NA,"R (>= 3.4.0), methods","XML, RCurl, rjson, S4Vectors (>= 0.13.15), yaml",NA,"getPass, rsolr, RUnit",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.4.3
reticulate,/work/islet_cartography_scrna/r_library,1.44.0,NA,R (>= 3.5),"Matrix, Rcpp (>= 1.0.7), RcppTOML, graphics, here, jsonlite,
methods, png, rappdirs, utils, rlang, withr",Rcpp,"callr, knitr, glue, cli, rmarkdown, pillar, testthat",NA,Apache License 2.0,NA,NA,NA,NA,yes,4.4.0
rhdf5,/work/islet_cartography_scrna/r_library,2.50.2,NA,"R (>= 4.0.0), methods","Rhdf5lib (>= 1.13.4), rhdf5filters (>= 1.15.5)",Rhdf5lib,"bit64, BiocStyle, knitr, rmarkdown, testthat, bench, dplyr,
ggplot2, mockery, BiocParallel",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.4.3
rhdf5filters,/work/islet_cartography_scrna/r_library,1.18.1,NA,NA,NA,Rhdf5lib,"BiocStyle, knitr, rmarkdown, tinytest, rhdf5 (>= 2.47.7)",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,4.4.3
Rhdf5lib,/work/islet_cartography_scrna/r_library,1.28.0,NA,R (>= 4.2.0),NA,NA,"BiocStyle, knitr, rmarkdown, tinytest, mockery",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.4.3
rjson,/work/islet_cartography_scrna/r_library,0.2.23,NA,R (>= 4.0.0),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,4.4.0
robustbase,/work/islet_cartography_scrna/r_library,0.99-6,NA,R (>= 3.5.0),"stats, graphics, utils, methods, DEoptimR",NA,"grid, MASS, lattice, boot, cluster, Matrix, robust,
fit.models, MPV, xtable, ggplot2, GGally, RColorBrewer,
reshape2, sfsmisc, catdata, doParallel, foreach, skewt","robustX, rrcov, matrixStats, quantreg, Hmisc",GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
ROCR,/work/islet_cartography_scrna/r_library,1.0-11,NA,R (>= 3.6),"methods, graphics, grDevices, gplots, stats",NA,"testthat, knitr, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,no,4.4.0
rprojroot,/work/islet_cartography_scrna/r_library,2.1.1,NA,R (>= 3.0.0),NA,NA,"covr, knitr, lifecycle, rlang, rmarkdown, testthat (>=
3.2.0), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
RSpectra,/work/islet_cartography_scrna/r_library,0.16-2,NA,R (>= 3.0.2),"Matrix (>= 1.1-0), Rcpp (>= 0.11.5)","Rcpp, RcppEigen (>= 0.3.3.3.0)","knitr, rmarkdown, prettydoc",NA,MPL (>= 2),NA,NA,NA,NA,yes,4.4.0
RSQLite,/work/islet_cartography_scrna/r_library,2.4.3,NA,R (>= 3.1.0),"bit64, blob (>= 1.2.0), DBI (>= 1.2.0), memoise, methods,
pkgconfig, rlang","plogr (>= 0.2.0), cpp11 (>= 0.4.0)","callr, cli, DBItest (>= 1.8.0), decor, gert, gh, hms, knitr,
magrittr, rmarkdown, rvest, testthat (>= 3.0.0), withr, xml2",NA,LGPL (>= 2.1),NA,NA,NA,NA,yes,4.4.0
rsvd,/work/islet_cartography_scrna/r_library,1.0.5,NA,R (>= 4.0.0),Matrix,NA,"ggplot2, testthat",NA,GPL (>= 3),NA,NA,NA,NA,no,4.4.0
Rtsne,/work/islet_cartography_scrna/r_library,0.17,NA,NA,"Rcpp (>= 0.11.0), stats",Rcpp,"irlba, testthat",NA,file LICENSE,yes,NA,NA,NA,yes,4.4.0
S4Arrays,/work/islet_cartography_scrna/r_library,1.6.0,NA,"R (>= 4.3.0), methods, Matrix, abind, BiocGenerics (>=
0.45.2), S4Vectors, IRanges","stats, crayon",S4Vectors,"BiocParallel, SparseArray (>= 0.0.4), DelayedArray, testthat,
knitr, rmarkdown, BiocStyle",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.4.3
S4Vectors,/work/islet_cartography_scrna/r_library,0.44.0,NA,"R (>= 4.0.0), methods, utils, stats, stats4, BiocGenerics (>=
0.37.0)",NA,NA,"IRanges, GenomicRanges, SummarizedExperiment, Matrix,
DelayedArray, ShortRead, graph, data.table, RUnit, BiocStyle,
knitr",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.4.3
S7,/work/islet_cartography_scrna/r_library,0.2.0,NA,R (>= 3.5.0),utils,NA,"bench, callr, covr, knitr, methods, rmarkdown, testthat (>=
3.2.0), tibble",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
ScaledMatrix,/work/islet_cartography_scrna/r_library,1.14.0,NA,NA,"methods, Matrix, S4Vectors, DelayedArray",NA,"testthat, BiocStyle, knitr, rmarkdown, BiocSingular,
DelayedMatrixStats",NA,GPL-3,NA,NA,NA,NA,no,4.4.3
scales,/work/islet_cartography_scrna/r_library,1.4.0,NA,R (>= 4.1),"cli, farver (>= 2.0.3), glue, labeling, lifecycle, R6,
RColorBrewer, rlang (>= 1.1.0), viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
scattermore,/work/islet_cartography_scrna/r_library,1.2,NA,NA,"ggplot2, scales, grid, grDevices, graphics",NA,"covr, knitr, rmarkdown, testthat",NA,GPL (>= 3),NA,NA,NA,NA,yes,4.4.0
sctransform,/work/islet_cartography_scrna/r_library,0.4.2,NA,R (>= 3.6.0),"dplyr, magrittr, MASS, Matrix (>= 1.5-0), methods,
future.apply, future, ggplot2, reshape2, rlang, gridExtra,
matrixStats","RcppArmadillo, Rcpp (>= 0.11.0)","irlba, testthat, knitr",glmGamPoi,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,4.4.0
scuttle,/work/islet_cartography_scrna/r_library,1.16.0,NA,SingleCellExperiment,"methods, utils, stats, Matrix, Rcpp, BiocGenerics, S4Vectors,
BiocParallel, GenomicRanges, SummarizedExperiment, S4Arrays,
MatrixGenerics, SparseArray, DelayedArray, beachmat","Rcpp, beachmat","BiocStyle, knitr, scRNAseq, rmarkdown, testthat,
sparseMatrixStats, DelayedMatrixStats, scran",NA,GPL-3,NA,NA,NA,NA,yes,4.4.3
segmented,/work/islet_cartography_scrna/r_library,2.1-4,NA,"R (>= 3.5.0), MASS, nlme",NA,NA,NA,NA,GPL,NA,NA,NA,NA,no,4.4.0
Seurat,/work/islet_cartography_scrna/r_library,5.3.1,NA,"R (>= 4.0.0), methods, SeuratObject (>= 5.0.2)","cluster, cowplot, fastDummies, fitdistrplus, future,
future.apply, generics (>= 0.1.3), ggplot2 (>= 3.3.0), ggrepel,
ggridges, graphics, grDevices, grid, httr, ica, igraph, irlba,
jsonlite, KernSmooth, leidenbase, lifecycle, lmtest, MASS,
Matrix (>= 1.5-0), matrixStats, miniUI, patchwork, pbapply,
plotly (>= 4.9.0), png, progressr, RANN, RColorBrewer, Rcpp (>=
1.0.7), RcppAnnoy (>= 0.0.18), RcppHNSW, reticulate, rlang,
ROCR, RSpectra, Rtsne, scales, scattermore (>= 1.2),
sctransform (>= 0.4.1), shiny, spatstat.explore, spatstat.geom,
stats, tibble, tools, utils, uwot (>= 0.1.10)","Rcpp (>= 0.11.0), RcppEigen, RcppProgress","ape, arrow, Biobase, BiocGenerics, BPCells, data.table,
DESeq2, DelayedArray, enrichR, GenomicRanges, GenomeInfoDb,
glmGamPoi, ggrastr, harmony, hdf5r, IRanges, limma, MAST,
metap, mixtools, monocle, presto, rsvd, R.utils, Rfast2,
rtracklayer, S4Vectors, sf (>= 1.0.0), SingleCellExperiment,
SummarizedExperiment, testthat, VGAM",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
SeuratObject,/work/islet_cartography_scrna/r_library,5.2.0,NA,"R (>= 4.1.0), sp (>= 1.5.0)","future, future.apply, generics, grDevices, grid, lifecycle,
Matrix (>= 1.6.4), methods, progressr, Rcpp (>= 1.0.5), rlang
(>= 0.4.7), spam, stats, tools, utils","Rcpp, RcppEigen","BPCells, DelayedArray, fs (>= 1.5.2), sf (>= 1.0.0), ggplot2,
HDF5Array, rmarkdown, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
shape,/work/islet_cartography_scrna/r_library,1.4.6.1,NA,R (>= 2.01),"stats, graphics, grDevices",NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,no,4.4.0
SingleCellExperiment,/work/islet_cartography_scrna/r_library,1.28.1,NA,SummarizedExperiment,"methods, utils, stats, S4Vectors, BiocGenerics, GenomicRanges,
DelayedArray",NA,"testthat, BiocStyle, knitr, rmarkdown, Matrix, scRNAseq (>=
2.9.1), Rtsne",NA,GPL-3,NA,NA,NA,NA,no,4.4.3
sitmo,/work/islet_cartography_scrna/r_library,2.0.2,NA,R (>= 3.2.0),Rcpp (>= 0.12.13),Rcpp,"knitr, rmarkdown, ggplot2",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
snakecase,/work/islet_cartography_scrna/r_library,0.11.1,NA,R (>= 3.2),"stringr, stringi",NA,"testthat, covr, tibble, purrrlyr, knitr, rmarkdown, magrittr",NA,GPL-3,NA,NA,NA,NA,no,4.4.0
snow,/work/islet_cartography_scrna/r_library,0.4-4,NA,"R (>= 2.13.1), utils",NA,NA,rlecuyer,Rmpi,GPL,NA,NA,NA,NA,no,4.4.0
sp,/work/islet_cartography_scrna/r_library,2.2-0,NA,"R (>= 3.5.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, gstat, deldir, knitr, maps, mapview, rmarkdown,
sf, terra, raster",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
spam,/work/islet_cartography_scrna/r_library,2.11-1,NA,R (>= 4.0),"dotCall64, grid, methods, Rcpp (>= 1.0.8.3)",Rcpp,"spam64, fields, Matrix, testthat, R.rsp, truncdist, knitr,
rmarkdown",NA,LGPL-2 | BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,4.4.0
SparseArray,/work/islet_cartography_scrna/r_library,1.6.2,NA,"R (>= 4.3.0), methods, Matrix, BiocGenerics (>= 0.43.1),
MatrixGenerics (>= 1.11.1), S4Vectors (>= 0.43.2), S4Arrays (>=
1.5.11)","utils, stats, matrixStats, IRanges, XVector","S4Vectors, IRanges, XVector","HDF5Array, ExperimentHub, testthat, knitr, rmarkdown,
BiocStyle",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.4.3
sparseMatrixStats,/work/islet_cartography_scrna/r_library,1.18.0,NA,MatrixGenerics (>= 1.5.3),"Rcpp, Matrix, matrixStats (>= 0.60.0), methods",Rcpp,"testthat (>= 2.1.0), knitr, bench, rmarkdown, BiocStyle",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.3
spatstat.data,/work/islet_cartography_scrna/r_library,3.1-9,NA,R (>= 3.5.0),"spatstat.utils (>= 3.1-2), Matrix",NA,"spatstat.geom, spatstat.random, spatstat.explore,
spatstat.model, spatstat.linnet",NA,GPL (>= 2),NA,NA,NA,NA,no,4.4.0
spatstat.explore,/work/islet_cartography_scrna/r_library,3.5-3,NA,"R (>= 3.5.0), spatstat.data (>= 3.1-8), spatstat.univar (>=
3.1-4), spatstat.geom (>= 3.6), spatstat.random (>= 3.4),
stats, graphics, grDevices, utils, methods, nlme","spatstat.utils (>= 3.2), spatstat.sparse (>= 3.1), goftest (>=
1.2-2), Matrix, abind",NA,"sm, gsl, locfit, spatial, fftwtools (>= 0.9-8),
spatstat.linnet (>= 3.3), spatstat.model (>= 3.4), spatstat (>=
3.4)",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
spatstat.geom,/work/islet_cartography_scrna/r_library,3.6-0,NA,"R (>= 3.5.0), spatstat.data (>= 3.1-8), spatstat.univar (>=
3.1-4), stats, graphics, grDevices, utils, methods","spatstat.utils (>= 3.2-0), deldir (>= 1.0-2), polyclip (>=
1.10)",NA,"spatstat.random (>= 3.4), spatstat.explore (>= 3.4),
spatstat.model (>= 3.3), spatstat.linnet (>= 3.2), spatial,
fftwtools (>= 0.9-8), spatstat (>= 3.3)",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
